F_ST h2 p N d power
0.02 0.5 0.001 1000 0.252429320254919 0.31892519352879
0.02 0.5 0.001 1032.82812594103 0.247440336043202 0.301470367175539
0.02 0.5 0.001 1066.73393773486 0.253643483657333 0.329784282797751
0.02 0.5 0.001 1101.75281378839 0.240920431623599 0.312756332457075
0.02 0.5 0.001 1137.92129391532 0.244314400103336 0.318111744654107
0.02 0.5 0.001 1175.27711746295 0.255333163635474 0.349132686125063
0.02 0.5 0.001 1213.85926269063 0.244470227636967 0.326625357296624
0.02 0.5 0.001 1253.70798744092 0.247283387802381 0.344653629818773
0.02 0.5 0.001 1294.8648711459 0.250284618662152 0.364416052396542
0.02 0.5 0.001 1337.3728582125 0.254711034430153 0.370676268207863
0.02 0.5 0.001 1381.27630283201 0.248271421003438 0.363335657314723
0.02 0.5 0.001 1426.62101526074 0.253220572243321 0.390709874526422
0.02 0.5 0.001 1473.45430961984 0.236691948450635 0.368893689603073
0.02 0.5 0.001 1521.82505326439 0.260108306820956 0.395820572776515
0.02 0.5 0.001 1571.78371777316 0.246575695107849 0.402892640923605
0.02 0.5 0.001 1623.38243161228 0.248480293974663 0.406138216916231
0.02 0.5 0.001 1676.6750345277 0.239488110744274 0.393055370207262
0.02 0.5 0.001 1731.71713372335 0.244148136901764 0.393048626660409
0.02 0.5 0.001 1788.56616188346 0.253810499322115 0.436018043290573
0.02 0.5 0.001 1847.28143709963 0.255115849109927 0.464541542098779
0.02 0.5 0.001 1907.92422476527 0.245627064692385 0.452131181219353
0.02 0.5 0.001 1970.5578015018 0.244567682682477 0.460950431984142
0.02 0.5 0.001 2035.24752118358 0.249446852475014 0.472803704045624
0.02 0.5 0.001 2102.06088313016 0.249925744743073 0.481354686098359
0.02 0.5 0.001 2171.06760253726 0.250390460889596 0.504795550861627
0.02 0.5 0.001 2242.33968321985 0.252116647367457 0.52031885173256
0.02 0.5 0.001 2315.95149274315 0.24326565780448 0.52109958062035
0.02 0.5 0.001 2391.97984002024 0.244341091337361 0.538157692262611
0.02 0.5 0.001 2470.50405545683 0.247302337483214 0.55273962060757
0.02 0.5 0.001 2551.60607372718 0.246840993879209 0.551322409767719
0.02 0.5 0.001 2635.37051926739 0.250014480469039 0.566183062471283
0.02 0.5 0.001 2721.88479457518 0.256823290521244 0.610734733818668
0.02 0.5 0.001 2811.23917140846 0.249941352486063 0.609383338660461
0.02 0.5 0.001 2903.52688497781 0.244713352748222 0.609804699275924
0.02 0.5 0.001 2998.84423123103 0.246214917208371 0.633770298077841
0.02 0.5 0.001 3097.29066733141 0.23217138958725 0.606307230253321
0.02 0.5 0.001 3198.96891543454 0.251728087805541 0.678568839715331
0.02 0.5 0.001 3303.98506987186 0.246224836579043 0.684625472940417
0.02 0.5 0.001 3412.44870785289 0.245992696054669 0.681265578946234
0.02 0.5 0.001 3524.47300380159 0.243958102964113 0.704045893511546
0.02 0.5 0.001 3640.17484744614 0.250837465842846 0.721115057238491
0.02 0.5 0.001 3759.67496578547 0.240138748432474 0.727605835453476
0.02 0.5 0.001 3883.0980490596 0.255186677581533 0.756002103475324
0.02 0.5 0.001 4010.5728808555 0.243608064578007 0.751021973926614
0.02 0.5 0.001 4142.2324724839 0.24970079473819 0.769368564657409
0.02 0.5 0.001 4278.21420176762 0.253357465869184 0.810474590680072
0.02 0.5 0.001 4418.65995638594 0.241566850045421 0.800087977853437
0.02 0.5 0.001 4563.71628192476 0.245558715261971 0.806522195668876
0.02 0.5 0.001 4713.53453478691 0.237904308242033 0.802085752863245
0.02 0.5 0.001 4868.27104012228 0.249207045431143 0.844438596385818
0.02 0.5 0.001 5028.08725494248 0.246680643937323 0.846544575491293
0.02 0.5 0.001 5193.14993659021 0.251489764805805 0.87395919625008
0.02 0.5 0.001 5363.63131673925 0.246710268683671 0.877685209604318
0.02 0.5 0.001 5539.7092811064 0.259533538729464 0.913060066812593
0.02 0.5 0.001 5721.56755506325 0.251651289073419 0.906310200661067
0.02 0.5 0.001 5909.39589534097 0.248991235733895 0.91863735565467
0.02 0.5 0.001 6103.39028802862 0.250961539116483 0.930943934002674
0.02 0.5 0.001 6303.75315307128 0.249671337155723 0.942040378265396
0.02 0.5 0.001 6510.69355548146 0.249628930882227 0.934877950685215
0.02 0.5 0.001 6724.42742348425 0.246294461267531 0.942883487278084
0.02 0.5 0.001 6945.1777738237 0.255733679517365 0.962023449241491
0.02 0.5 0.001 7173.17494446561 0.244615909612998 0.960466551488947
0.02 0.5 0.001 7408.65683493957 0.246461462376165 0.967900149799982
0.02 0.5 0.001 7651.86915457083 0.244556532314225 0.960978079551568
0.02 0.5 0.001 7903.06567886135 0.246323911355118 0.97611359114104
0.02 0.5 0.001 8162.50851428723 0.247220371345826 0.979919656532656
0.02 0.5 0.001 8430.46837178897 0.249482149755719 0.987718491742234
0.02 0.5 0.001 8707.22484923992 0.251785368376872 0.98701691768916
0.02 0.5 0.001 8993.06672318762 0.249069952576631 0.988565323455891
0.02 0.5 0.001 9288.2922501725 0.247566600648066 0.990461671957909
0.02 0.5 0.001 9593.20947793824 0.242542088138426 0.9924022385483
0.02 0.5 0.001 9908.13656685867 0.244247158375057 0.995475789402711
0.02 0.5 0.001 10233.4021219164 0.251140473307582 0.996485358200341
0.02 0.5 0.001 10569.3455355799 0.257590682488223 0.998879745288399
0.02 0.5 0.001 10916.3173419361 0.246206157872135 0.997204057364009
0.02 0.5 0.001 11274.6795824495 0.24397678348111 0.998300965026669
0.02 0.5 0.001 11644.8061837269 0.245852345869102 0.998440942361196
0.02 0.5 0.001 12027.0833476851 0.243649916073894 0.998424941778782
0.02 0.5 0.001 12421.9099545262 0.246439971249563 0.999388390134204
0.02 0.5 0.001 12829.6979789415 0.245743914148224 0.999465549547666
0.02 0.5 0.001 13250.8729199795 0.234771793261356 0.998964870452101
0.02 0.5 0.001 13685.8742450252 0.247437067009335 0.999823873188294
0.02 0.5 0.001 14135.155848354 0.256602939626314 0.999949939172694
0.02 0.5 0.001 14599.1865247398 0.255087471341873 0.999968294983969
0.02 0.5 0.001 15078.4504586105 0.247618572297282 0.99989448481688
0.02 0.5 0.001 15573.4477292614 0.2454608614387 0.999961567686381
0.02 0.5 0.001 16084.6948326536 0.254413015215535 0.999992839523505
0.02 0.5 0.001 16612.7252203429 0.250146542657844 0.999985920126826
0.02 0.5 0.001 17158.0898561001 0.245754924792453 0.999992972159446
0.02 0.5 0.001 17721.3577908036 0.249070972749588 0.999998384493879
0.02 0.5 0.001 18303.1167562061 0.239280212614133 0.999993532366796
0.02 0.5 0.001 18903.9737781922 0.240794370274454 0.999998232970837
0.02 0.5 0.001 19524.5558101686 0.250138878083226 0.999999769701927
0.02 0.5 0.001 20165.5103872475 0.248081082546323 0.99999965333
0.02 0.5 0.001 20827.5063019051 0.24881082908632 0.999999831701004
0.02 0.5 0.001 21511.2343018217 0.249975954603123 0.999999941513246
0.02 0.5 0.001 22217.4078106288 0.245570755722314 0.999999970924163
0.02 0.5 0.001 22946.7636723194 0.248201608249151 0.999999991742205
0.02 0.5 0.001 23700.0629200933 0.244218297550821 0.999999989668595
0.02 0.5 0.001 24478.0915704444 0.245534643083101 0.999999998155759
0.02 0.5 0.001 25281.661443315 0.245069584943539 0.999999998150202
0.02 0.5 0.001 26111.6110091746 0.238090739656421 0.999999998105031
