F_ST h2 p N d power
0.02 0.5 0.001 1000 0.124624384954115 0.112812260558453
0.02 0.5 0.001 1032.82812594103 0.121011459404286 0.111977521400345
0.02 0.5 0.001 1066.73393773486 0.122438672173082 0.111431244105548
0.02 0.5 0.001 1101.75281378839 0.125743910395882 0.115954962148737
0.02 0.5 0.001 1137.92129391532 0.127878551644153 0.120347171415106
0.02 0.5 0.001 1175.27711746295 0.114013024694658 0.111018577793437
0.02 0.5 0.001 1213.85926269063 0.12127912165875 0.116885723130265
0.02 0.5 0.001 1253.70798744092 0.128569652521658 0.127646627660842
0.02 0.5 0.001 1294.8648711459 0.12831753832063 0.12766476193075
0.02 0.5 0.001 1337.3728582125 0.126461473307825 0.127098180367979
0.02 0.5 0.001 1381.27630283201 0.127981039448293 0.134498591301023
0.02 0.5 0.001 1426.62101526074 0.121031937368446 0.130278108519623
0.02 0.5 0.001 1473.45430961984 0.124983884241073 0.136320486404641
0.02 0.5 0.001 1521.82505326439 0.122070502756104 0.13080013968259
0.02 0.5 0.001 1571.78371777316 0.124209902575206 0.136742713943081
0.02 0.5 0.001 1623.38243161228 0.128481106839472 0.141884062682879
0.02 0.5 0.001 1676.6750345277 0.123362617196471 0.14104495488125
0.02 0.5 0.001 1731.71713372335 0.12700156517682 0.148087322812787
0.02 0.5 0.001 1788.56616188346 0.122148436496898 0.142324516649207
0.02 0.5 0.001 1847.28143709963 0.124474680345235 0.147679281047673
0.02 0.5 0.001 1907.92422476527 0.127025353648355 0.153860607972451
0.02 0.5 0.001 1970.5578015018 0.123188512965907 0.15403296484881
0.02 0.5 0.001 2035.24752118358 0.121766837235153 0.156449777696513
0.02 0.5 0.001 2102.06088313016 0.124748868434774 0.157763666451663
0.02 0.5 0.001 2171.06760253726 0.122909108107709 0.164466050238938
0.02 0.5 0.001 2242.33968321985 0.125812810517212 0.173986774033439
0.02 0.5 0.001 2315.95149274315 0.124108449551367 0.169475274275686
0.02 0.5 0.001 2391.97984002024 0.121846661867974 0.172370310356472
0.02 0.5 0.001 2470.50405545683 0.125298467369949 0.184282134625756
0.02 0.5 0.001 2551.60607372718 0.12314916595645 0.184098995349125
0.02 0.5 0.001 2635.37051926739 0.125163929020882 0.197115302824664
0.02 0.5 0.001 2721.88479457518 0.129590029423145 0.202042685787925
0.02 0.5 0.001 2811.23917140846 0.120696256082666 0.193006069319739
0.02 0.5 0.001 2903.52688497781 0.12380541077777 0.201918746587838
0.02 0.5 0.001 2998.84423123103 0.121964327000849 0.202795122556165
0.02 0.5 0.001 3097.29066733141 0.125565538192124 0.2172732095209
0.02 0.5 0.001 3198.96891543454 0.125865207698334 0.220883881785556
0.02 0.5 0.001 3303.98506987186 0.124488877944657 0.227898275726726
0.02 0.5 0.001 3412.44870785289 0.128378629893905 0.242895635029342
0.02 0.5 0.001 3524.47300380159 0.124525900146996 0.239861657849754
0.02 0.5 0.001 3640.17484744614 0.125274750448597 0.256034339517187
0.02 0.5 0.001 3759.67496578547 0.128507535424842 0.263448376366689
0.02 0.5 0.001 3883.0980490596 0.126209694263512 0.265363198699499
0.02 0.5 0.001 4010.5728808555 0.125011472072339 0.272245810177614
0.02 0.5 0.001 4142.2324724839 0.128438546512152 0.284533103472116
0.02 0.5 0.001 4278.21420176762 0.121185701073261 0.269950450947609
0.02 0.5 0.001 4418.65995638594 0.121746185537221 0.274311528891799
0.02 0.5 0.001 4563.71628192476 0.12448983762646 0.307021471549688
0.02 0.5 0.001 4713.53453478691 0.121787211321532 0.298362436025802
0.02 0.5 0.001 4868.27104012228 0.125153640246565 0.316817139810579
0.02 0.5 0.001 5028.08725494248 0.118481480734311 0.304926752540498
0.02 0.5 0.001 5193.14993659021 0.124051711620954 0.350336510751728
0.02 0.5 0.001 5363.63131673925 0.124256144859277 0.344825279560676
0.02 0.5 0.001 5539.7092811064 0.127062754562776 0.359073631430299
0.02 0.5 0.001 5721.56755506325 0.124930911333833 0.382986659047246
0.02 0.5 0.001 5909.39589534097 0.128901336211769 0.419492857627192
0.02 0.5 0.001 6103.39028802862 0.12801525482244 0.417372691890412
0.02 0.5 0.001 6303.75315307128 0.122929277479991 0.393671737899318
0.02 0.5 0.001 6510.69355548146 0.120782818412364 0.404343749299732
0.02 0.5 0.001 6724.42742348425 0.118837593391353 0.40602871147648
0.02 0.5 0.001 6945.1777738237 0.124879897942989 0.458599871574753
0.02 0.5 0.001 7173.17494446561 0.121357564099607 0.440765631612915
0.02 0.5 0.001 7408.65683493957 0.127093755598812 0.500361519644708
0.02 0.5 0.001 7651.86915457083 0.126110119831325 0.49817052779195
0.02 0.5 0.001 7903.06567886135 0.122402930512933 0.477198394792564
0.02 0.5 0.001 8162.50851428723 0.120816643215244 0.498786155653858
0.02 0.5 0.001 8430.46837178897 0.122180240214472 0.511811159085955
0.02 0.5 0.001 8707.22484923992 0.125471467444498 0.567628729114341
