F_ST h2 p N d power
0.08 0.5 0.001 1000 0.121721838789324 0.0613795745953489
0.08 0.5 0.001 1032.82812594103 0.11818192235855 0.0614241987900872
0.08 0.5 0.001 1066.73393773486 0.123270983054798 0.0624351268530359
0.08 0.5 0.001 1101.75281378839 0.123723771024787 0.0623375184164021
0.08 0.5 0.001 1137.92129391532 0.122538791318485 0.0631317462327879
0.08 0.5 0.001 1175.27711746295 0.124911296556936 0.063440908792957
0.08 0.5 0.001 1213.85926269063 0.129033943926545 0.0635201054583405
0.08 0.5 0.001 1253.70798744092 0.128165878312269 0.0652736827564434
0.08 0.5 0.001 1294.8648711459 0.122078510972351 0.0634303203641721
0.08 0.5 0.001 1337.3728582125 0.123473339053792 0.064614324955956
0.08 0.5 0.001 1381.27630283201 0.11922740369173 0.0641443911091822
0.08 0.5 0.001 1426.62101526074 0.128026663383276 0.0664843530454173
0.08 0.5 0.001 1473.45430961984 0.122922146812021 0.0650007995551642
0.08 0.5 0.001 1521.82505326439 0.126077215117579 0.0667044647609668
0.08 0.5 0.001 1571.78371777316 0.12446866795628 0.0664389394066123
0.08 0.5 0.001 1623.38243161228 0.125057279038144 0.0664936335192885
0.08 0.5 0.001 1676.6750345277 0.1262751164166 0.0673557090310183
0.08 0.5 0.001 1731.71713372335 0.128594653170833 0.0698206911329806
0.08 0.5 0.001 1788.56616188346 0.126910043314993 0.0687217637597195
0.08 0.5 0.001 1847.28143709963 0.117406201702608 0.0670744803168451
0.08 0.5 0.001 1907.92422476527 0.123808609679626 0.0690781366833345
0.08 0.5 0.001 1970.5578015018 0.120200572263462 0.0681373172305837
0.08 0.5 0.001 2035.24752118358 0.125276504166296 0.0708203473375963
0.08 0.5 0.001 2102.06088313016 0.125072653855248 0.0711445838778392
0.08 0.5 0.001 2171.06760253726 0.12048225456838 0.0700353948182614
0.08 0.5 0.001 2242.33968321985 0.123237385960897 0.0725132521127271
0.08 0.5 0.001 2315.95149274315 0.127128232182644 0.0737517503375407
0.08 0.5 0.001 2391.97984002024 0.122936096003126 0.0722352777636752
0.08 0.5 0.001 2470.50405545683 0.124725841896427 0.0743560151714027
0.08 0.5 0.001 2551.60607372718 0.1221970556945 0.0746164565552706
0.08 0.5 0.001 2635.37051926739 0.127667056357216 0.0774719939303852
0.08 0.5 0.001 2721.88479457518 0.126054452334784 0.0786784520069044
0.08 0.5 0.001 2811.23917140846 0.121361190462517 0.0780472171862684
0.08 0.5 0.001 2903.52688497781 0.125867189328769 0.0793741079156117
0.08 0.5 0.001 2998.84423123103 0.125444323403629 0.081346555226824
0.08 0.5 0.001 3097.29066733141 0.126672046493039 0.0822064226404876
0.08 0.5 0.001 3198.96891543454 0.123705202938774 0.0830543117776503
0.08 0.5 0.001 3303.98506987186 0.126128902365324 0.0841750638637662
0.08 0.5 0.001 3412.44870785289 0.121328037907752 0.0836332280274126
0.08 0.5 0.001 3524.47300380159 0.121780827612893 0.0836209761221691
0.08 0.5 0.001 3640.17484744614 0.122317713791842 0.0857803970526099
0.08 0.5 0.001 3759.67496578547 0.1263908908938 0.089983806664166
0.08 0.5 0.001 3883.0980490596 0.124493997990603 0.0909417438406408
0.08 0.5 0.001 4010.5728808555 0.124388457433505 0.0902269740586379
0.08 0.5 0.001 4142.2324724839 0.124647374995715 0.0924148820737811
0.08 0.5 0.001 4278.21420176762 0.127769044648809 0.0963164541792597
0.08 0.5 0.001 4418.65995638594 0.126569799910087 0.0986412706282209
0.08 0.5 0.001 4563.71628192476 0.12517747934779 0.100745586602594
0.08 0.5 0.001 4713.53453478691 0.127506454281145 0.101706491385433
0.08 0.5 0.001 4868.27104012228 0.127484057026593 0.101687494339107
0.08 0.5 0.001 5028.08725494248 0.123801025092074 0.104165535574033
0.08 0.5 0.001 5193.14993659021 0.126015162143492 0.107886959827002
0.08 0.5 0.001 5363.63131673925 0.121469133711751 0.104849496508028
0.08 0.5 0.001 5539.7092811064 0.124153253079446 0.112219095348946
0.08 0.5 0.001 5721.56755506325 0.130192998827635 0.117091254642866
0.08 0.5 0.001 5909.39589534097 0.120900889697931 0.11027186535178
0.08 0.5 0.001 6103.39028802862 0.121492545681681 0.115345086677524
0.08 0.5 0.001 6303.75315307128 0.123824492609077 0.117072470524175
0.08 0.5 0.001 6510.69355548146 0.125472765919002 0.122118406463605
0.08 0.5 0.001 6724.42742348425 0.12640374493452 0.124922926509675
0.08 0.5 0.001 6945.1777738237 0.124580503754413 0.127898407019626
0.08 0.5 0.001 7173.17494446561 0.124116377092634 0.131904864607434
0.08 0.5 0.001 7408.65683493957 0.125995192984649 0.135314080426794
0.08 0.5 0.001 7651.86915457083 0.127538360638276 0.14037387144719
0.08 0.5 0.001 7903.06567886135 0.123765439443458 0.144502592179852
0.08 0.5 0.001 8162.50851428723 0.123488813313509 0.14907533077756
0.08 0.5 0.001 8430.46837178897 0.12307379591667 0.148979435353033
0.08 0.5 0.001 8707.22484923992 0.124004366457463 0.154681767583907
0.08 0.5 0.001 8993.06672318762 0.12817505080295 0.158422912472084
0.08 0.5 0.001 9288.2922501725 0.119525165370695 0.154020590577959
0.08 0.5 0.001 9593.20947793824 0.121422406219726 0.15565815262145
0.08 0.5 0.001 9908.13656685867 0.124993987415337 0.172864957615952
0.08 0.5 0.001 10233.4021219164 0.122319349611069 0.174891351397401
0.08 0.5 0.001 10569.3455355799 0.125362681200462 0.182509368404144
0.08 0.5 0.001 10916.3173419361 0.122256281874177 0.180104676254429
0.08 0.5 0.001 11274.6795824495 0.126759954500452 0.191695308596696
0.08 0.5 0.001 11644.8061837269 0.126963570675358 0.199391230098933
0.08 0.5 0.001 12027.0833476851 0.125239136685848 0.214726422242296
0.08 0.5 0.001 12421.9099545262 0.12311585712295 0.209732611098936
0.08 0.5 0.001 12829.6979789415 0.128199675489469 0.223444084866684
0.08 0.5 0.001 13250.8729199795 0.126180628310064 0.235349644734977
0.08 0.5 0.001 13685.8742450252 0.125715703328845 0.243633054853281
0.08 0.5 0.001 14135.155848354 0.123161064520634 0.233937961145159
0.08 0.5 0.001 14599.1865247398 0.128653290832062 0.262601220944408
0.08 0.5 0.001 15078.4504586105 0.122560886756649 0.240939205285231
0.08 0.5 0.001 15573.4477292614 0.126479444972111 0.282593947544101
0.08 0.5 0.001 16084.6948326536 0.120989503395002 0.262346233867674
0.08 0.5 0.001 16612.7252203429 0.12234546929426 0.27734527684968
0.08 0.5 0.001 17158.0898561001 0.121834929267813 0.286041834982575
0.08 0.5 0.001 17721.3577908036 0.125544775987846 0.302844309232383
0.08 0.5 0.001 18303.1167562061 0.12182160375756 0.300267613318888
0.08 0.5 0.001 18903.9737781922 0.125056924867277 0.313234737753317
0.08 0.5 0.001 19524.5558101686 0.121801528695864 0.328381880882882
0.08 0.5 0.001 20165.5103872475 0.122530303571205 0.345389263108781
0.08 0.5 0.001 20827.5063019051 0.124353206058045 0.341122098338031
0.08 0.5 0.001 21511.2343018217 0.1251602341109 0.370640562670925
0.08 0.5 0.001 22217.4078106288 0.124123535055461 0.374033164402219
0.08 0.5 0.001 22946.7636723194 0.125700258830598 0.406313830176729
0.08 0.5 0.001 23700.0629200933 0.123892357298116 0.392887754249937
0.08 0.5 0.001 24478.0915704444 0.126888574796723 0.428305219765489
0.08 0.5 0.001 25281.661443315 0.123163662381665 0.419376582787446
0.08 0.5 0.001 26111.6110091746 0.124722889849755 0.474098885470233
0.08 0.5 0.001 26968.8062639069 0.122006760072891 0.457486358156208
0.08 0.5 0.001 27854.1416324177 0.124246159086562 0.483555782127397
0.08 0.5 0.001 28768.540901906 0.124041881709656 0.501534584536213
0.08 0.5 0.001 29712.9581857733 0.121954500124168 0.493541277918827
0.08 0.5 0.001 30688.3789191764 0.122680212243536 0.512317446759823
0.08 0.5 0.001 31695.8208872612 0.126194211950953 0.538958850201668
0.08 0.5 0.001 32736.3352871525 0.124313784210309 0.545396923747104
0.08 0.5 0.001 33811.0078248068 0.125670874328233 0.564465595109929
0.08 0.5 0.001 34920.9598478727 0.124242426286823 0.578891696696557
0.08 0.5 0.001 36067.3495157403 0.121059327803523 0.591445628058583
0.08 0.5 0.001 37251.3730080021 0.123211211868906 0.613593050281942
0.08 0.5 0.001 38474.2657725851 0.127515015895494 0.650181035355146
0.08 0.5 0.001 39737.3038148561 0.121687572737075 0.64955012903677
0.08 0.5 0.001 41041.8050290471 0.124910713170131 0.679650747712019
0.08 0.5 0.001 42389.1305733878 0.126147047539816 0.709679615818872
0.08 0.5 0.001 43780.6862903817 0.123676266160106 0.686344929476686
0.08 0.5 0.001 45217.924173707 0.120812826250973 0.719641284876536
0.08 0.5 0.001 46702.3438832733 0.121734562978848 0.710704727247057
0.08 0.5 0.001 48235.4943100147 0.117524679447445 0.733359398353377
