F_ST h2 p N d power
0.04 0.5 0.001 1000 0.252455168278793 0.16611694744853
0.04 0.5 0.001 1032.82812594103 0.253495758748035 0.171262828105361
0.04 0.5 0.001 1066.73393773486 0.242686715102968 0.167575303875972
0.04 0.5 0.001 1101.75281378839 0.249087595737237 0.174806896789809
0.04 0.5 0.001 1137.92129391532 0.248025057369966 0.176880061392558
0.04 0.5 0.001 1175.27711746295 0.249205516882268 0.175166656444719
0.04 0.5 0.001 1213.85926269063 0.258059048143576 0.189843298963008
0.04 0.5 0.001 1253.70798744092 0.251171495740593 0.189471047019533
0.04 0.5 0.001 1294.8648711459 0.249645860636675 0.185296421947611
0.04 0.5 0.001 1337.3728582125 0.25139009186378 0.193475211288111
0.04 0.5 0.001 1381.27630283201 0.25743009335253 0.199980366616812
0.04 0.5 0.001 1426.62101526074 0.254059808005583 0.205802195286536
0.04 0.5 0.001 1473.45430961984 0.249006074453917 0.206926200280782
0.04 0.5 0.001 1521.82505326439 0.246920002017686 0.207284015588141
0.04 0.5 0.001 1571.78371777316 0.245272463107 0.204949049715433
0.04 0.5 0.001 1623.38243161228 0.245203366734141 0.210401000685756
0.04 0.5 0.001 1676.6750345277 0.250758440451012 0.218706006594533
0.04 0.5 0.001 1731.71713372335 0.244116193706698 0.218985257149015
0.04 0.5 0.001 1788.56616188346 0.251321421481866 0.233425212525415
0.04 0.5 0.001 1847.28143709963 0.256673950490528 0.24864218742473
0.04 0.5 0.001 1907.92422476527 0.24295239292422 0.236183253442161
0.04 0.5 0.001 1970.5578015018 0.247788115440687 0.240662015416715
0.04 0.5 0.001 2035.24752118358 0.259584079438136 0.265978490908491
0.04 0.5 0.001 2102.06088313016 0.251441414750126 0.255936620729387
0.04 0.5 0.001 2171.06760253726 0.251323045509012 0.26653586206523
0.04 0.5 0.001 2242.33968321985 0.248395213018409 0.268665469084529
0.04 0.5 0.001 2315.95149274315 0.25157180366302 0.276468226233824
0.04 0.5 0.001 2391.97984002024 0.250917261304742 0.289043011034777
0.04 0.5 0.001 2470.50405545683 0.240780708314896 0.281710918856914
0.04 0.5 0.001 2551.60607372718 0.257033997898334 0.308381813587008
0.04 0.5 0.001 2635.37051926739 0.245267323783825 0.30164260099081
0.04 0.5 0.001 2721.88479457518 0.248822359285207 0.319179573439678
0.04 0.5 0.001 2811.23917140846 0.239565974243435 0.309876123663844
0.04 0.5 0.001 2903.52688497781 0.252445586886408 0.355285736693331
0.04 0.5 0.001 2998.84423123103 0.25013464193559 0.336869434235404
0.04 0.5 0.001 3097.29066733141 0.257362361294709 0.374637033568683
0.04 0.5 0.001 3198.96891543454 0.23990842531385 0.339577309038065
0.04 0.5 0.001 3303.98506987186 0.251461276501166 0.389287219485908
0.04 0.5 0.001 3412.44870785289 0.239315438770189 0.361436401857927
0.04 0.5 0.001 3524.47300380159 0.26430119092336 0.435165978991802
0.04 0.5 0.001 3640.17484744614 0.252704070945686 0.413716499080472
0.04 0.5 0.001 3759.67496578547 0.246701080140142 0.420395996438736
0.04 0.5 0.001 3883.0980490596 0.243058996975549 0.417726652487177
0.04 0.5 0.001 4010.5728808555 0.253509232501543 0.451598816493063
0.04 0.5 0.001 4142.2324724839 0.241618004699182 0.444209257583423
0.04 0.5 0.001 4278.21420176762 0.247403298769616 0.468873146554851
0.04 0.5 0.001 4418.65995638594 0.252096996357612 0.478748262031182
0.04 0.5 0.001 4563.71628192476 0.253876856012387 0.502984575752891
0.04 0.5 0.001 4713.53453478691 0.250436472370812 0.506093092017206
0.04 0.5 0.001 4868.27104012228 0.249857001409229 0.528404299291123
0.04 0.5 0.001 5028.08725494248 0.249267846852977 0.529144940301329
0.04 0.5 0.001 5193.14993659021 0.24930448294906 0.560582506981739
0.04 0.5 0.001 5363.63131673925 0.252011151443307 0.575968199043864
0.04 0.5 0.001 5539.7092811064 0.250824224843381 0.594240470252326
0.04 0.5 0.001 5721.56755506325 0.238944932736804 0.596792760478545
0.04 0.5 0.001 5909.39589534097 0.251071694466861 0.602417155613854
0.04 0.5 0.001 6103.39028802862 0.244815840754161 0.61250114296188
0.04 0.5 0.001 6303.75315307128 0.24801394929514 0.65821319032943
0.04 0.5 0.001 6510.69355548146 0.235753220453866 0.621286790854678
0.04 0.5 0.001 6724.42742348425 0.257792187539409 0.696514902495257
0.04 0.5 0.001 6945.1777738237 0.255653747224934 0.698496668817913
0.04 0.5 0.001 7173.17494446561 0.24482318743413 0.717808315421552
0.04 0.5 0.001 7408.65683493957 0.250600678792852 0.722164748105602
0.04 0.5 0.001 7651.86915457083 0.25346010876458 0.769794601632357
0.04 0.5 0.001 7903.06567886135 0.24049282065593 0.718650454246748
0.04 0.5 0.001 8162.50851428723 0.242633346310769 0.752032465947532
0.04 0.5 0.001 8430.46837178897 0.254617125874537 0.807227528248408
0.04 0.5 0.001 8707.22484923992 0.244168576426116 0.782776296743827
0.04 0.5 0.001 8993.06672318762 0.240218928236764 0.802696372967981
0.04 0.5 0.001 9288.2922501725 0.24603832713682 0.816359276308513
0.04 0.5 0.001 9593.20947793824 0.246386570788601 0.855182569961012
0.04 0.5 0.001 9908.13656685867 0.240821931226261 0.843823743693688
0.04 0.5 0.001 10233.4021219164 0.252259218474503 0.883167284749831
0.04 0.5 0.001 10569.3455355799 0.249333832008173 0.896261995798579
0.04 0.5 0.001 10916.3173419361 0.244674561634123 0.888254129410762
0.04 0.5 0.001 11274.6795824495 0.251352983397733 0.92428527483678
0.04 0.5 0.001 11644.8061837269 0.246031185847403 0.927870455784711
0.04 0.5 0.001 12027.0833476851 0.245408934489078 0.934216875855969
0.04 0.5 0.001 12421.9099545262 0.25638697313625 0.952837743179472
0.04 0.5 0.001 12829.6979789415 0.254897252446799 0.954985029982128
0.04 0.5 0.001 13250.8729199795 0.254900625811123 0.955933773195129
0.04 0.5 0.001 13685.8742450252 0.253327740060917 0.960775380486776
0.04 0.5 0.001 14135.155848354 0.250104814026402 0.967501530477265
0.04 0.5 0.001 14599.1865247398 0.245483427937366 0.967118866760992
0.04 0.5 0.001 15078.4504586105 0.245431253991928 0.971487306099534
0.04 0.5 0.001 15573.4477292614 0.253527311451737 0.983874905850254
0.04 0.5 0.001 16084.6948326536 0.246624694855655 0.983431999118191
0.04 0.5 0.001 16612.7252203429 0.251596897244587 0.9880904714814
0.04 0.5 0.001 17158.0898561001 0.242906956920668 0.989801672821195
0.04 0.5 0.001 17721.3577908036 0.25452062035275 0.994067581229815
0.04 0.5 0.001 18303.1167562061 0.246643651464311 0.994055407181688
0.04 0.5 0.001 18903.9737781922 0.241125400929345 0.993585143042621
0.04 0.5 0.001 19524.5558101686 0.237057764000457 0.995319378838944
0.04 0.5 0.001 20165.5103872475 0.253561516729388 0.997579255907272
0.04 0.5 0.001 20827.5063019051 0.23800144654008 0.997166326939934
0.04 0.5 0.001 21511.2343018217 0.248145669633491 0.998785943176945
0.04 0.5 0.001 22217.4078106288 0.259121976849847 0.999397796934637
0.04 0.5 0.001 22946.7636723194 0.246878275386318 0.999395496964723
0.04 0.5 0.001 23700.0629200933 0.251395479286385 0.999491279010303
0.04 0.5 0.001 24478.0915704444 0.250758398317932 0.999560987665035
0.04 0.5 0.001 25281.661443315 0.252286906444203 0.999732030583948
0.04 0.5 0.001 26111.6110091746 0.245189453800459 0.999759679195626
0.04 0.5 0.001 26968.8062639069 0.245237419182363 0.999781457754824
0.04 0.5 0.001 27854.1416324177 0.250528874783829 0.999946398589014
0.04 0.5 0.001 28768.540901906 0.25569648291933 0.999979667658828
0.04 0.5 0.001 29712.9581857733 0.256287926411204 0.999989348541769
0.04 0.5 0.001 30688.3789191764 0.251476728021048 0.999995920203005
0.04 0.5 0.001 31695.8208872612 0.248297960990612 0.999992331323086
0.04 0.5 0.001 32736.3352871525 0.251828488387544 0.999991889255606
0.04 0.5 0.001 33811.0078248068 0.255357489355925 0.999998916279308
0.04 0.5 0.001 34920.9598478727 0.259491262218281 0.9999996655894
0.04 0.5 0.001 36067.3495157403 0.243633784796953 0.999998307205561
0.04 0.5 0.001 37251.3730080021 0.248131739730048 0.999999693205765
0.04 0.5 0.001 38474.2657725851 0.250079579670991 0.999999751217454
0.04 0.5 0.001 39737.3038148561 0.259535302271333 0.999999988926568
0.04 0.5 0.001 41041.8050290471 0.243723448202458 0.999999910335886
0.04 0.5 0.001 42389.1305733878 0.248600559989097 0.999999950883214
0.04 0.5 0.001 43780.6862903817 0.245546163307024 0.999999980937921
0.04 0.5 0.001 45217.924173707 0.236805017020119 0.999999964872684
0.04 0.5 0.001 46702.3438832733 0.247066155814559 0.99999999849024
0.04 0.5 0.001 48235.4943100147 0.254603579754333 0.99999999983282
0.04 0.5 0.001 49818.9751920517 0.254207137667267 0.999999999980289
0.04 0.5 0.001 51454.4387839092 0.247890394019318 0.999999999915639
0.04 0.5 0.001 53143.5915805324 0.239653901148611 0.999999999793472
0.04 0.5 0.001 54888.1960978968 0.243115002297809 0.999999999976717
0.04 0.5 0.001 56690.0727120743 0.247418905849352 0.999999999999088
0.04 0.5 0.001 58551.1015586724 0.24589447977934 0.999999999999264
0.04 0.5 0.001 60473.2244946265 0.247619583770799 0.999999999999811
0.04 0.5 0.001 62458.4471243962 0.246430314083639 0.999999999999894
0.04 0.5 0.001 64508.8408926769 0.252560565271642 0.999999999999994
0.04 0.5 0.001 66626.5452458115 0.249072319831673 0.999999999999998
0.04 0.5 0.001 68813.7698641567 0.255589531406256 1
0.04 0.5 0.001 71072.7969677341 0.248032783828454 1
