F_ST h2 p N d power
0.12 0.5 0.001 1000 0.121793318960533 0.0566456460634877
0.12 0.5 0.001 1032.82812594103 0.125426440763392 0.0573729951931678
0.12 0.5 0.001 1066.73393773486 0.126048918153118 0.0577639853409745
0.12 0.5 0.001 1101.75281378839 0.119169801341699 0.0567812523696004
0.12 0.5 0.001 1137.92129391532 0.121891342387494 0.0576950533164686
0.12 0.5 0.001 1175.27711746295 0.125365358739886 0.0576492844454314
0.12 0.5 0.001 1213.85926269063 0.129262333619464 0.0583739919960442
0.12 0.5 0.001 1253.70798744092 0.121218245963702 0.0581712108436593
0.12 0.5 0.001 1294.8648711459 0.122946928490878 0.0578605631696792
0.12 0.5 0.001 1337.3728582125 0.125407370694799 0.0587675701919675
0.12 0.5 0.001 1381.27630283201 0.120453307018045 0.0585814913683755
0.12 0.5 0.001 1426.62101526074 0.123335759252287 0.0585685319646783
0.12 0.5 0.001 1473.45430961984 0.120964796918871 0.0583865048127588
0.12 0.5 0.001 1521.82505326439 0.124530024066267 0.0600016124920222
0.12 0.5 0.001 1571.78371777316 0.125235648791971 0.060079672242706
0.12 0.5 0.001 1623.38243161228 0.123720353989644 0.0601824616896754
0.12 0.5 0.001 1676.6750345277 0.12133292748219 0.0601326561828065
0.12 0.5 0.001 1731.71713372335 0.120783119001303 0.060601517119842
0.12 0.5 0.001 1788.56616188346 0.128996607702452 0.0614617606105087
0.12 0.5 0.001 1847.28143709963 0.125494429383644 0.0615831474604624
0.12 0.5 0.001 1907.92422476527 0.121738308782074 0.0604073094721578
0.12 0.5 0.001 1970.5578015018 0.124845172115316 0.062166601552013
0.12 0.5 0.001 2035.24752118358 0.128772941117295 0.0631649851472804
0.12 0.5 0.001 2102.06088313016 0.122086031232545 0.062243254788397
0.12 0.5 0.001 2171.06760253726 0.121325410111745 0.0618904116059829
0.12 0.5 0.001 2242.33968321985 0.122742540668976 0.0627842181929145
0.12 0.5 0.001 2315.95149274315 0.126167898532582 0.0633921721837983
0.12 0.5 0.001 2391.97984002024 0.124133096512014 0.0647651328958529
0.12 0.5 0.001 2470.50405545683 0.122271311181801 0.0637591294026022
0.12 0.5 0.001 2551.60607372718 0.126442561021626 0.0659034005727345
0.12 0.5 0.001 2635.37051926739 0.123519681683636 0.0651990963856181
0.12 0.5 0.001 2721.88479457518 0.121976466107655 0.0651101101291846
0.12 0.5 0.001 2811.23917140846 0.120230400252573 0.065776335410788
0.12 0.5 0.001 2903.52688497781 0.120743820000616 0.0661858380653154
0.12 0.5 0.001 2998.84423123103 0.124395660670227 0.0677156944757658
0.12 0.5 0.001 3097.29066733141 0.122843553517405 0.0674261950137794
0.12 0.5 0.001 3198.96891543454 0.119691396539039 0.0675279201859201
0.12 0.5 0.001 3303.98506987186 0.127427156098119 0.069752504517532
0.12 0.5 0.001 3412.44870785289 0.122322090606174 0.0699343302410055
0.12 0.5 0.001 3524.47300380159 0.124204782551358 0.0716717915538271
0.12 0.5 0.001 3640.17484744614 0.122395380836468 0.0705368156757347
0.12 0.5 0.001 3759.67496578547 0.123327185121367 0.0717103588829347
0.12 0.5 0.001 3883.0980490596 0.118856140700644 0.0716157336972654
0.12 0.5 0.001 4010.5728808555 0.127188093051548 0.0752934771449318
0.12 0.5 0.001 4142.2324724839 0.121257875254942 0.0738630981150993
0.12 0.5 0.001 4278.21420176762 0.122550407878489 0.0752487036189632
0.12 0.5 0.001 4418.65995638594 0.125002161177922 0.0783896349610875
0.12 0.5 0.001 4563.71628192476 0.125428011214264 0.0783916200696224
0.12 0.5 0.001 4713.53453478691 0.12275931023683 0.0790339927147352
0.12 0.5 0.001 4868.27104012228 0.125639750055025 0.0802833744423734
0.12 0.5 0.001 5028.08725494248 0.126958489692719 0.0811397080463577
0.12 0.5 0.001 5193.14993659021 0.124175942786987 0.0823688486837027
0.12 0.5 0.001 5363.63131673925 0.126545109600024 0.0861931825448545
0.12 0.5 0.001 5539.7092811064 0.122239893577009 0.0848021361291932
0.12 0.5 0.001 5721.56755506325 0.124515170604945 0.0876046116295425
0.12 0.5 0.001 5909.39589534097 0.12565323689192 0.0882247988778595
