F_ST h2 p N d power
0.04 0.5 0.001 1000 0.502118555070335 0.511865139917524
0.04 0.5 0.001 1032.82812594103 0.494845530843427 0.515170624195016
0.04 0.5 0.001 1066.73393773486 0.496371246565367 0.505855165673198
0.04 0.5 0.001 1101.75281378839 0.516021916724061 0.554392298030456
0.04 0.5 0.001 1137.92129391532 0.48484604520301 0.503878486009478
0.04 0.5 0.001 1175.27711746295 0.499587411360614 0.556661661066727
0.04 0.5 0.001 1213.85926269063 0.508523999684923 0.566365973967283
0.04 0.5 0.001 1253.70798744092 0.4803758632052 0.551459267497899
0.04 0.5 0.001 1294.8648711459 0.501358610046093 0.591441258335381
0.04 0.5 0.001 1337.3728582125 0.500839332657587 0.595903307333775
0.04 0.5 0.001 1381.27630283201 0.494864700826954 0.589174462928877
0.04 0.5 0.001 1426.62101526074 0.480621524033802 0.576089137021401
0.04 0.5 0.001 1473.45430961984 0.468739933133675 0.576677200095224
0.04 0.5 0.001 1521.82505326439 0.494504152916828 0.632270959282138
0.04 0.5 0.001 1571.78371777316 0.502762475326434 0.637751049892027
0.04 0.5 0.001 1623.38243161228 0.500337380272494 0.658194167220149
0.04 0.5 0.001 1676.6750345277 0.50074511164364 0.659535924001307
0.04 0.5 0.001 1731.71713372335 0.486568916213703 0.652556593733679
0.04 0.5 0.001 1788.56616188346 0.497594176842713 0.690958298830012
0.04 0.5 0.001 1847.28143709963 0.505340415042353 0.715516905145888
0.04 0.5 0.001 1907.92422476527 0.493497950775744 0.692418064315176
0.04 0.5 0.001 1970.5578015018 0.48498211774547 0.705220017738722
0.04 0.5 0.001 2035.24752118358 0.499077311403365 0.752080073222009
0.04 0.5 0.001 2102.06088313016 0.485716183757464 0.719001380799303
0.04 0.5 0.001 2171.06760253726 0.497920355524 0.771496934065136
0.04 0.5 0.001 2242.33968321985 0.508155304131306 0.76996651874541
0.04 0.5 0.001 2315.95149274315 0.492881043917108 0.779120560199593
0.04 0.5 0.001 2391.97984002024 0.507357850525124 0.794928355505702
0.04 0.5 0.001 2470.50405545683 0.502628208339467 0.81555129877161
0.04 0.5 0.001 2551.60607372718 0.488401329455687 0.81416112129441
0.04 0.5 0.001 2635.37051926739 0.486572583803811 0.811679529320191
0.04 0.5 0.001 2721.88479457518 0.505542754166707 0.849694984245147
0.04 0.5 0.001 2811.23917140846 0.49612021704824 0.855612050509998
0.04 0.5 0.001 2903.52688497781 0.489096422272426 0.855299201581349
0.04 0.5 0.001 2998.84423123103 0.515571901502913 0.884123439205281
0.04 0.5 0.001 3097.29066733141 0.496077328906566 0.894490520531154
0.04 0.5 0.001 3198.96891543454 0.508111271464654 0.907639760142156
0.04 0.5 0.001 3303.98506987186 0.484044157290601 0.89594901300466
0.04 0.5 0.001 3412.44870785289 0.486612330432148 0.911295455436893
0.04 0.5 0.001 3524.47300380159 0.479060237810977 0.90294856829289
0.04 0.5 0.001 3640.17484744614 0.476777046749377 0.897320745446045
0.04 0.5 0.001 3759.67496578547 0.477951040092656 0.930293322560509
0.04 0.5 0.001 3883.0980490596 0.481140460458239 0.934819253908533
0.04 0.5 0.001 4010.5728808555 0.485916415462026 0.952734710730717
0.04 0.5 0.001 4142.2324724839 0.492379523271295 0.95802042950921
0.04 0.5 0.001 4278.21420176762 0.49987701790846 0.965204057250382
0.04 0.5 0.001 4418.65995638594 0.496673477397232 0.968041092287068
0.04 0.5 0.001 4563.71628192476 0.496636893419463 0.973496186023051
0.04 0.5 0.001 4713.53453478691 0.479011491168106 0.972139418820605
0.04 0.5 0.001 4868.27104012228 0.494625555873611 0.979116234756496
0.04 0.5 0.001 5028.08725494248 0.498338851110407 0.984105750842713
0.04 0.5 0.001 5193.14993659021 0.488958243307755 0.986800466886782
0.04 0.5 0.001 5363.63131673925 0.509006063673506 0.99039587708834
0.04 0.5 0.001 5539.7092811064 0.489618832769916 0.990947184748145
0.04 0.5 0.001 5721.56755506325 0.498038412121654 0.993955774787189
0.04 0.5 0.001 5909.39589534097 0.506012042664129 0.99532138622818
0.04 0.5 0.001 6103.39028802862 0.493699377825274 0.995524752956143
0.04 0.5 0.001 6303.75315307128 0.500455829875651 0.996829695626147
0.04 0.5 0.001 6510.69355548146 0.506392325017041 0.997249883835583
0.04 0.5 0.001 6724.42742348425 0.514185445487362 0.999060832604847
0.04 0.5 0.001 6945.1777738237 0.505185451859713 0.999225959335553
0.04 0.5 0.001 7173.17494446561 0.496671683880108 0.999077120369312
0.04 0.5 0.001 7408.65683493957 0.505342449447666 0.999535322574635
0.04 0.5 0.001 7651.86915457083 0.491874762829071 0.99943587730498
0.04 0.5 0.001 7903.06567886135 0.489909904706404 0.999674765160421
0.04 0.5 0.001 8162.50851428723 0.487475600928945 0.99961491978037
0.04 0.5 0.001 8430.46837178897 0.488216992285923 0.999735108156489
0.04 0.5 0.001 8707.22484923992 0.499383837347786 0.99990225956137
0.04 0.5 0.001 8993.06672318762 0.483911700055146 0.999916428312145
0.04 0.5 0.001 9288.2922501725 0.493433730030432 0.999957089739962
0.04 0.5 0.001 9593.20947793824 0.511355821488369 0.999987334253762
0.04 0.5 0.001 9908.13656685867 0.480572698496291 0.999973399012629
0.04 0.5 0.001 10233.4021219164 0.505752853983024 0.999995549057738
0.04 0.5 0.001 10569.3455355799 0.481099041169864 0.999990350112818
0.04 0.5 0.001 10916.3173419361 0.478014675316717 0.999988364961089
0.04 0.5 0.001 11274.6795824495 0.503025384911823 0.999999139363978
0.04 0.5 0.001 11644.8061837269 0.503089566710104 0.999998556859909
0.04 0.5 0.001 12027.0833476851 0.488000982078123 0.999999363380539
0.04 0.5 0.001 12421.9099545262 0.500550728922923 0.999999880453349
0.04 0.5 0.001 12829.6979789415 0.509251262487638 0.999999977285892
0.04 0.5 0.001 13250.8729199795 0.492403408293813 0.999999953828366
0.04 0.5 0.001 13685.8742450252 0.493004355804063 0.999999984605173
0.04 0.5 0.001 14135.155848354 0.493567276912282 0.999999988776998
0.04 0.5 0.001 14599.1865247398 0.514504783169375 0.999999998687545
0.04 0.5 0.001 15078.4504586105 0.490570231246286 0.9999999992385
0.04 0.5 0.001 15573.4477292614 0.497229915945428 0.999999999809974
0.04 0.5 0.001 16084.6948326536 0.515872489007093 0.999999999971264
0.04 0.5 0.001 16612.7252203429 0.494742643418619 0.999999999901168
0.04 0.5 0.001 17158.0898561001 0.488400965345235 0.999999999852923
0.04 0.5 0.001 17721.3577908036 0.492062977492251 0.99999999994899
0.04 0.5 0.001 18303.1167562061 0.510477837933308 0.999999999999885
0.04 0.5 0.001 18903.9737781922 0.484902934463641 0.999999999998357
0.04 0.5 0.001 19524.5558101686 0.510127491360032 0.999999999999993
0.04 0.5 0.001 20165.5103872475 0.506299331639352 0.999999999999892
0.04 0.5 0.001 20827.5063019051 0.499278598734809 0.999999999999988
0.04 0.5 0.001 21511.2343018217 0.503350563445844 0.999999999999999
0.04 0.5 0.001 22217.4078106288 0.501915208841669 1
0.04 0.5 0.001 22946.7636723194 0.491379246021347 0.999999999999999
0.04 0.5 0.001 23700.0629200933 0.48478512243705 1
0.04 0.5 0.001 24478.0915704444 0.49735625304833 1
0.04 0.5 0.001 25281.661443315 0.506556474210878 1
0.04 0.5 0.001 26111.6110091746 0.49271496443018 1
0.04 0.5 0.001 26968.8062639069 0.490904842621634 1
0.04 0.5 0.001 27854.1416324177 0.478417261383415 1
0.04 0.5 0.001 28768.540901906 0.477068936974383 1
0.04 0.5 0.001 29712.9581857733 0.496249147043253 1
