F_ST h2 p N d power
0.12 0.5 0.001 1000 0.253727082591534 0.0789563569141352
0.12 0.5 0.001 1032.82812594103 0.255636365285857 0.0805040314393209
0.12 0.5 0.001 1066.73393773486 0.248311381106375 0.0795573741626767
0.12 0.5 0.001 1101.75281378839 0.240740843981826 0.0780593218287244
0.12 0.5 0.001 1137.92129391532 0.249516520408182 0.0809529159809233
0.12 0.5 0.001 1175.27711746295 0.247431954510958 0.0812815755608375
0.12 0.5 0.001 1213.85926269063 0.244371976152637 0.082288173240067
0.12 0.5 0.001 1253.70798744092 0.254194276120462 0.0834723034345723
0.12 0.5 0.001 1294.8648711459 0.249362916839411 0.0840122662715707
0.12 0.5 0.001 1337.3728582125 0.24395364656259 0.0840129681741862
0.12 0.5 0.001 1381.27630283201 0.253146284378721 0.0862522851610448
0.12 0.5 0.001 1426.62101526074 0.244105368537204 0.0859889243744229
0.12 0.5 0.001 1473.45430961984 0.242215325317592 0.0862883465413693
0.12 0.5 0.001 1521.82505326439 0.246905807594623 0.089490650341325
0.12 0.5 0.001 1571.78371777316 0.246717929135448 0.0899239571806647
0.12 0.5 0.001 1623.38243161228 0.248949811715609 0.08777429846662
0.12 0.5 0.001 1676.6750345277 0.243994199163891 0.0895119595473335
0.12 0.5 0.001 1731.71713372335 0.247898977755583 0.0920947541845832
0.12 0.5 0.001 1788.56616188346 0.240220941365909 0.0924033255855509
0.12 0.5 0.001 1847.28143709963 0.257002810723723 0.0980182286561145
0.12 0.5 0.001 1907.92422476527 0.246478895969338 0.0950296838805249
0.12 0.5 0.001 1970.5578015018 0.249119930677256 0.0982784199835756
0.12 0.5 0.001 2035.24752118358 0.248429865798567 0.100116165598523
0.12 0.5 0.001 2102.06088313016 0.243879924443285 0.098962059149538
0.12 0.5 0.001 2171.06760253726 0.251326707137175 0.105634950213085
0.12 0.5 0.001 2242.33968321985 0.246622608904404 0.105440879835274
0.12 0.5 0.001 2315.95149274315 0.241663995178278 0.100876595635046
0.12 0.5 0.001 2391.97984002024 0.248763239231251 0.107376143855453
0.12 0.5 0.001 2470.50405545683 0.246828974888611 0.107338999409799
0.12 0.5 0.001 2551.60607372718 0.250123001754077 0.107443149706128
0.12 0.5 0.001 2635.37051926739 0.247037968542952 0.111813041885507
0.12 0.5 0.001 2721.88479457518 0.251925537539235 0.122661102566396
0.12 0.5 0.001 2811.23917140846 0.241791008003109 0.114157112911074
0.12 0.5 0.001 2903.52688497781 0.249755304015029 0.123090522937127
0.12 0.5 0.001 2998.84423123103 0.243454354467723 0.121510679962039
0.12 0.5 0.001 3097.29066733141 0.254668091697866 0.130874259139458
0.12 0.5 0.001 3198.96891543454 0.256823786909259 0.128660577330688
0.12 0.5 0.001 3303.98506987186 0.24527282659813 0.128904193117586
0.12 0.5 0.001 3412.44870785289 0.241894854846274 0.130115329988275
0.12 0.5 0.001 3524.47300380159 0.243682060506995 0.136723367507958
0.12 0.5 0.001 3640.17484744614 0.246787076721494 0.140540480746644
0.12 0.5 0.001 3759.67496578547 0.243203578802198 0.141803281238241
0.12 0.5 0.001 3883.0980490596 0.25684214846008 0.150494075403214
0.12 0.5 0.001 4010.5728808555 0.240046456393557 0.145415065060364
0.12 0.5 0.001 4142.2324724839 0.248484454917449 0.158193768451529
0.12 0.5 0.001 4278.21420176762 0.242051971311095 0.156019752167441
0.12 0.5 0.001 4418.65995638594 0.255416822860916 0.164582098071633
0.12 0.5 0.001 4563.71628192476 0.246164647724514 0.166794820957061
0.12 0.5 0.001 4713.53453478691 0.24741052579318 0.168759770623189
0.12 0.5 0.001 4868.27104012228 0.248635919390233 0.176773559490425
0.12 0.5 0.001 5028.08725494248 0.236282633361249 0.166098503361422
0.12 0.5 0.001 5193.14993659021 0.247186191881621 0.187235379632435
0.12 0.5 0.001 5363.63131673925 0.244677018874491 0.183448161750918
0.12 0.5 0.001 5539.7092811064 0.233837997913173 0.173168279079694
0.12 0.5 0.001 5721.56755506325 0.23717081773218 0.191707199019995
0.12 0.5 0.001 5909.39589534097 0.247677563469295 0.209993606422072
0.12 0.5 0.001 6103.39028802862 0.242325192992337 0.204819213150727
0.12 0.5 0.001 6303.75315307128 0.240710033665782 0.209638660171696
0.12 0.5 0.001 6510.69355548146 0.252546820530596 0.229013285793213
0.12 0.5 0.001 6724.42742348425 0.243141993205092 0.230593777884578
0.12 0.5 0.001 6945.1777738237 0.247683589679607 0.239248254497033
0.12 0.5 0.001 7173.17494446561 0.242221033903558 0.235527567328926
0.12 0.5 0.001 7408.65683493957 0.258472578488086 0.263019113272092
0.12 0.5 0.001 7651.86915457083 0.243080200337136 0.250029762180825
0.12 0.5 0.001 7903.06567886135 0.251015913144772 0.273385946911508
0.12 0.5 0.001 8162.50851428723 0.244401526246175 0.28455374376002
0.12 0.5 0.001 8430.46837178897 0.247346604790973 0.285623474440898
0.12 0.5 0.001 8707.22484923992 0.246881940948266 0.301835322148396
0.12 0.5 0.001 8993.06672318762 0.239578654150838 0.284377073463373
0.12 0.5 0.001 9288.2922501725 0.251042953214891 0.321408975344132
0.12 0.5 0.001 9593.20947793824 0.244494674794979 0.307805644492315
0.12 0.5 0.001 9908.13656685867 0.251308330323678 0.347365536566562
0.12 0.5 0.001 10233.4021219164 0.244308768928814 0.336475076621173
0.12 0.5 0.001 10569.3455355799 0.255223936577989 0.370732459766658
0.12 0.5 0.001 10916.3173419361 0.252126611470408 0.395205017426061
0.12 0.5 0.001 11274.6795824495 0.246194335406064 0.369792127305058
0.12 0.5 0.001 11644.8061837269 0.238504812190728 0.375600352251244
0.12 0.5 0.001 12027.0833476851 0.250402166039454 0.407561582183101
0.12 0.5 0.001 12421.9099545262 0.249697888419375 0.434335522616624
0.12 0.5 0.001 12829.6979789415 0.254559573349968 0.450704837369228
0.12 0.5 0.001 13250.8729199795 0.246382478562896 0.453798354504706
0.12 0.5 0.001 13685.8742450252 0.236144463742627 0.430739244108546
0.12 0.5 0.001 14135.155848354 0.253588602017627 0.496102428837401
0.12 0.5 0.001 14599.1865247398 0.24031868583434 0.464076825368993
0.12 0.5 0.001 15078.4504586105 0.242953044829889 0.504765637390597
0.12 0.5 0.001 15573.4477292614 0.246850566816816 0.547157316806152
0.12 0.5 0.001 16084.6948326536 0.25206852995707 0.570328428066302
0.12 0.5 0.001 16612.7252203429 0.244434693346544 0.54319593720916
0.12 0.5 0.001 17158.0898561001 0.256650879702613 0.607089533392074
0.12 0.5 0.001 17721.3577908036 0.24453567277104 0.580227504641972
0.12 0.5 0.001 18303.1167562061 0.248974397717746 0.616903370850938
0.12 0.5 0.001 18903.9737781922 0.252074748981194 0.636935342302487
0.12 0.5 0.001 19524.5558101686 0.244348484185712 0.634001996113949
0.12 0.5 0.001 20165.5103872475 0.244571401755919 0.657896034732035
0.12 0.5 0.001 20827.5063019051 0.249070339063873 0.67049057027365
0.12 0.5 0.001 21511.2343018217 0.251068423415466 0.69067746190445
0.12 0.5 0.001 22217.4078106288 0.243662028144097 0.694470684645104
0.12 0.5 0.001 22946.7636723194 0.252018270537887 0.751936698284858
0.12 0.5 0.001 23700.0629200933 0.240510045632545 0.712555974755606
0.12 0.5 0.001 24478.0915704444 0.258814281787657 0.793156550307755
0.12 0.5 0.001 25281.661443315 0.251295573288982 0.791516680323784
