F_ST h2 p N d power
0.06 0.5 0.001 1000 0.24538592361875 0.12052396301262
0.06 0.5 0.001 1032.82812594103 0.2494901408523 0.118909231774102
0.06 0.5 0.001 1066.73393773486 0.244089977052065 0.119925732967492
0.06 0.5 0.001 1101.75281378839 0.249310921358411 0.125287954394026
0.06 0.5 0.001 1137.92129391532 0.253604168026705 0.124333662785007
0.06 0.5 0.001 1175.27711746295 0.252585864507338 0.128635241347049
0.06 0.5 0.001 1213.85926269063 0.249965010025369 0.133759612056373
0.06 0.5 0.001 1253.70798744092 0.252857951450661 0.134797055960249
0.06 0.5 0.001 1294.8648711459 0.250456472374698 0.137432666159024
0.06 0.5 0.001 1337.3728582125 0.241528177564102 0.131034556460314
0.06 0.5 0.001 1381.27630283201 0.243362485023048 0.132305674043272
0.06 0.5 0.001 1426.62101526074 0.242143352268277 0.134305638477264
0.06 0.5 0.001 1473.45430961984 0.239612932423521 0.13845833059181
0.06 0.5 0.001 1521.82505326439 0.242319776936248 0.143988958514459
0.06 0.5 0.001 1571.78371777316 0.245054398684236 0.143950154012902
0.06 0.5 0.001 1623.38243161228 0.254557634497207 0.156515769057631
0.06 0.5 0.001 1676.6750345277 0.243910559193985 0.153121303827036
0.06 0.5 0.001 1731.71713372335 0.254154786589652 0.158619302205605
0.06 0.5 0.001 1788.56616188346 0.23573333524184 0.15254881864504
0.06 0.5 0.001 1847.28143709963 0.246470769404049 0.163790253708801
0.06 0.5 0.001 1907.92422476527 0.257785898528713 0.173407562481265
0.06 0.5 0.001 1970.5578015018 0.246480398601818 0.168792658611256
0.06 0.5 0.001 2035.24752118358 0.263132460424289 0.186591456959545
0.06 0.5 0.001 2102.06088313016 0.254680128667637 0.180696586239394
0.06 0.5 0.001 2171.06760253726 0.250849908127121 0.18107248810911
0.06 0.5 0.001 2242.33968321985 0.244768559421661 0.183681302479058
0.06 0.5 0.001 2315.95149274315 0.251382598352509 0.183010391880135
0.06 0.5 0.001 2391.97984002024 0.246339305964534 0.195596117774784
0.06 0.5 0.001 2470.50405545683 0.245473404303826 0.195833498636529
0.06 0.5 0.001 2551.60607372718 0.248813417521915 0.204743938285261
0.06 0.5 0.001 2635.37051926739 0.24941359298397 0.209058780771843
0.06 0.5 0.001 2721.88479457518 0.242616665905472 0.205150102755124
0.06 0.5 0.001 2811.23917140846 0.234995490106495 0.210649456626017
0.06 0.5 0.001 2903.52688497781 0.252429931824553 0.237944145176357
0.06 0.5 0.001 2998.84423123103 0.248771453236419 0.225018013540071
0.06 0.5 0.001 3097.29066733141 0.242330559762519 0.222317485421056
0.06 0.5 0.001 3198.96891543454 0.236308248363521 0.228641259875988
0.06 0.5 0.001 3303.98506987186 0.262958159851635 0.271868888954729
0.06 0.5 0.001 3412.44870785289 0.257983344805763 0.26355589898131
0.06 0.5 0.001 3524.47300380159 0.251862263812223 0.266890439364589
0.06 0.5 0.001 3640.17484744614 0.243406952371084 0.26365390207809
0.06 0.5 0.001 3759.67496578547 0.243457244038645 0.275201289400043
0.06 0.5 0.001 3883.0980490596 0.25180537468692 0.290742087112276
0.06 0.5 0.001 4010.5728808555 0.243545617361801 0.292193877854632
0.06 0.5 0.001 4142.2324724839 0.250993834045319 0.301595199736339
0.06 0.5 0.001 4278.21420176762 0.254232094456354 0.317441437302609
0.06 0.5 0.001 4418.65995638594 0.244139755814748 0.315531390561389
0.06 0.5 0.001 4563.71628192476 0.250840316265849 0.328867508824723
0.06 0.5 0.001 4713.53453478691 0.252143524349478 0.342940957329529
0.06 0.5 0.001 4868.27104012228 0.234480769061161 0.322140945012122
0.06 0.5 0.001 5028.08725494248 0.248902945392603 0.360541921697439
0.06 0.5 0.001 5193.14993659021 0.245442962595887 0.374781153543461
0.06 0.5 0.001 5363.63131673925 0.246007981707873 0.380315199306015
0.06 0.5 0.001 5539.7092811064 0.2451548140143 0.40513870862904
0.06 0.5 0.001 5721.56755506325 0.247696690586938 0.410524557896294
0.06 0.5 0.001 5909.39589534097 0.247411493069945 0.429310031449203
0.06 0.5 0.001 6103.39028802862 0.247486337726712 0.427901590835208
0.06 0.5 0.001 6303.75315307128 0.240477168841287 0.428523802693107
0.06 0.5 0.001 6510.69355548146 0.246253973822101 0.440360389893518
0.06 0.5 0.001 6724.42742348425 0.249195754072275 0.463673257061335
0.06 0.5 0.001 6945.1777738237 0.249857725932393 0.492971286082541
0.06 0.5 0.001 7173.17494446561 0.245409902131311 0.489139269184946
0.06 0.5 0.001 7408.65683493957 0.245272777010858 0.520681727488914
0.06 0.5 0.001 7651.86915457083 0.245762411914643 0.528470122386094
0.06 0.5 0.001 7903.06567886135 0.248227890917468 0.558055507396583
0.06 0.5 0.001 8162.50851428723 0.247058654911069 0.561673148150117
0.06 0.5 0.001 8430.46837178897 0.259525732859752 0.622952637090609
0.06 0.5 0.001 8707.22484923992 0.245207573584734 0.616134456627931
0.06 0.5 0.001 8993.06672318762 0.249649100390817 0.612649207502294
0.06 0.5 0.001 9288.2922501725 0.247564167171064 0.623519357473857
